原料类型,霉变情况,来源情况,预估等级,茶渣_储存时间,果渣_褐变情况,原料是否匹配,等级是否匹配,路线_推荐强度,路线_风险等级,路线_首选目标,路线_适用原料类,路线_适用等级,匹配得分
中药残余废弃物,严重,明确可追溯,优,,,0,1,高,中高,食品支线,葡萄皮/柑橘皮/脐橙副产物/猕猴桃副产物,优/良,0.07297758140436972
果渣（柑橘/葡萄/猕猴桃等）,轻度,基本可追溯,差,,否,1,1,中高,低,材料主线,柑橘皮/葡萄皮/猕猴桃副产物/脐橙副产物/水晶梨副产物/提取后残渣,优/良/差,9.688138138571581
花生壳/板栗壳,轻度,来源不明,差,,,0,1,高,低,材料主线,茶渣,优/良/差,7.123327251402726
花生壳/板栗壳,轻度,基本可追溯,优,,,0,1,高,中,材料主线,豆腐渣/客家黄酒酒糟,良/差（优也可）,6.374494628278743
果渣（柑橘/葡萄/猕猴桃等）,严重,基本可追溯,良,,是,0,0,中,高,食品支线,茶渣,优,0.32090438614550343
茶渣,轻度,基本可追溯,优,是,,0,1,高,中,食品支线,柑橘皮/脐橙副产物/猕猴桃副产物/水晶梨副产物,优/良,5.61017534284672
豆制品/粮食发酵副产物,无,基本可追溯,良,,,0,1,高,中高,食品支线,葡萄皮/柑橘皮/脐橙副产物/猕猴桃副产物,优/良,4.537210919833421
果渣（柑橘/葡萄/猕猴桃等）,严重,基本可追溯,差,,否,0,0,中,高,食品支线,茶渣,优,0.0
果渣（柑橘/葡萄/猕猴桃等）,严重,基本可追溯,优,,否,0,1,高,低到中,材料主线,五指毛桃残余/布惊根残余/黄板树根残余/其他根茎木质型中药残余,优/良/差,5.333758899691277
花生壳/板栗壳,轻度,明确可追溯,差,,,1,1,中高,低,农用材料路线,花生壳/板栗壳,良/差（优也可）,10.215188547782702
花生壳/板栗壳,无,基本可追溯,优,,,1,1,中,低,能源化利用,花生壳/板栗壳,差（优/良也可）,9.099127890227733
茶渣,无,明确可追溯,良,是,,0,1,高,低,前处理稳定化,豆腐渣/客家黄酒酒糟,优/良/差,6.846470425462005
茶渣,无,来源不明,良,是,,0,1,中高,低,农用材料路线,花生壳/板栗壳,良/差（优也可）,5.692317052610819
豆制品/粮食发酵副产物,轻度,来源不明,良,,,0,1,中高,低,材料主线,柑橘皮/葡萄皮/猕猴桃副产物/脐橙副产物/水晶梨副产物/提取后残渣,优/良/差,6.029381129778697
果渣（柑橘/葡萄/猕猴桃等）,轻度,明确可追溯,优,,是,0,1,中,中高,农用资源化,五指毛桃残余/布惊根残余/黄板树根残余/其他来源明确且安全性较可控的中药残余,优/良,2.7141514309363686
茶渣,无,基本可追溯,差,否,,0,1,中,低,无害化兜底,柑橘皮/葡萄皮/葡萄籽/猕猴桃副产物/脐橙副产物/水晶梨副产物/混合果渣,差,4.559295796430764
花生壳/板栗壳,无,基本可追溯,优,,,0,1,中高,中高,食品支线,豆腐渣为主/客家黄酒酒糟为辅,优/良,4.417602817112112
果渣（柑橘/葡萄/猕猴桃等）,轻度,基本可追溯,差,,是,0,0,中,中高,农用资源化,五指毛桃残余/布惊根残余/黄板树根残余/其他来源明确且安全性较可控的中药残余,优/良,0.0
茶渣,无,明确可追溯,差,是,,0,1,中,低,能源化利用,花生壳/板栗壳,差（优/良也可）,4.831150935557552
中药残余废弃物,轻度,基本可追溯,差,,,0,1,中高,低,农用利用/兜底去向,豆腐渣/客家黄酒酒糟,差（优/良也可）,6.3925631252817166
茶渣,严重,基本可追溯,良,否,,0,1,高,中高,食品支线,葡萄籽,优/良,0.0
果渣（柑橘/葡萄/猕猴桃等）,严重,明确可追溯,优,,是,0,1,高,中,材料主线,茶渣,优/良,5.9082294761162775
豆制品/粮食发酵副产物,轻度,明确可追溯,良,,,0,1,高,中,食品支线,柑橘皮/脐橙副产物/猕猴桃副产物/水晶梨副产物,优/良,6.471091519787166
茶渣,严重,来源不明,差,是,,0,1,中,低,能源化利用,花生壳/板栗壳,差（优/良也可）,4.833165837067398
中药残余废弃物,无,明确可追溯,良,,,0,1,中高,中高,食品支线,豆腐渣为主/客家黄酒酒糟为辅,优/良,3.9858260312044744
花生壳/板栗壳,轻度,基本可追溯,良,,,0,1,高,中,食品支线,柑橘皮/脐橙副产物/猕猴桃副产物/水晶梨副产物,优/良,6.247452785640175
茶渣,无,明确可追溯,差,否,,0,1,中高,低,农用利用/兜底去向,豆腐渣/客家黄酒酒糟,差（优/良也可）,5.550138523956047
果渣（柑橘/葡萄/猕猴桃等）,无,明确可追溯,差,,是,1,1,中,低,无害化兜底,柑橘皮/葡萄皮/葡萄籽/猕猴桃副产物/脐橙副产物/水晶梨副产物/混合果渣,差,8.735459991238262
豆制品/粮食发酵副产物,严重,来源不明,差,,,0,0,中,高,食品支线,茶渣,优,0.0
豆制品/粮食发酵副产物,严重,来源不明,优,,,1,1,高,低,前处理稳定化,豆腐渣/客家黄酒酒糟,优/良/差,10.874142803818271
茶渣,轻度,来源不明,良,是,,0,1,高,中,材料主线,豆腐渣/客家黄酒酒糟,良/差（优也可）,5.72881708243287
中药残余废弃物,无,基本可追溯,差,,,0,0,高,中高,食品支线,葡萄皮/柑橘皮/脐橙副产物/猕猴桃副产物,优/良,2.217285951550436
中药残余废弃物,轻度,基本可追溯,良,,,0,1,中,低,能源化利用,花生壳/板栗壳,差（优/良也可）,4.550275538131689
果渣（柑橘/葡萄/猕猴桃等）,严重,来源不明,差,,否,0,0,中,高,食品支线,茶渣,优,0.0
果渣（柑橘/葡萄/猕猴桃等）,严重,来源不明,良,,否,0,1,高,低,前处理稳定化,豆腐渣/客家黄酒酒糟,优/良/差,7.137901972693633
中药残余废弃物,无,明确可追溯,良,,,0,1,高,中高,食品支线,葡萄籽,优/良,5.1899097985265215
中药残余废弃物,严重,来源不明,良,,,0,1,高,中,材料主线,花生壳/板栗壳,优/良,6.447239851505019
豆制品/粮食发酵副产物,无,来源不明,差,,,0,0,高,中高,食品支线,葡萄籽,优/良,2.0497469820440317
茶渣,严重,明确可追溯,良,否,,1,1,高,低,材料主线,茶渣,优/良/差,10.749325197990721
果渣（柑橘/葡萄/猕猴桃等）,无,来源不明,优,,是,0,1,高,中,材料主线,花生壳/板栗壳,优/良,6.313865820657142
果渣（柑橘/葡萄/猕猴桃等）,严重,明确可追溯,优,,否,0,1,高,低,材料主线,花生壳/板栗壳,优/良/差,6.853242395225912
中药残余废弃物,轻度,明确可追溯,优,,,0,1,高,低,材料主线,茶渣,优/良/差,7.3762573534837435
中药残余废弃物,严重,明确可追溯,良,,,0,1,高,低,材料主线,花生壳/板栗壳,优/良/差,6.739482051506832
果渣（柑橘/葡萄/猕猴桃等）,无,明确可追溯,良,,是,0,1,高,低,材料主线,茶渣,优/良/差,6.830013237392181
中药残余废弃物,轻度,来源不明,差,,,0,0,高,中高,食品支线,葡萄皮/柑橘皮/脐橙副产物/猕猴桃副产物,优/良,1.7662923743508403
豆制品/粮食发酵副产物,严重,来源不明,优,,,0,1,中高,低,农用材料路线,花生壳/板栗壳,良/差（优也可）,5.801474131595305
花生壳/板栗壳,无,来源不明,差,,,1,0,高,中,材料主线,花生壳/板栗壳,优/良,6.783220776475995
豆制品/粮食发酵副产物,严重,来源不明,优,,,0,1,中高,低,农用材料路线,花生壳/板栗壳,良/差（优也可）,6.295676761660019
果渣（柑橘/葡萄/猕猴桃等）,轻度,来源不明,良,,是,0,1,中,中高,农用资源化,五指毛桃残余/布惊根残余/黄板树根残余/其他来源明确且安全性较可控的中药残余,优/良,3.1833987230590433
豆制品/粮食发酵副产物,严重,基本可追溯,优,,,0,1,高,中,材料主线,花生壳/板栗壳,优/良,5.554001032194792
豆制品/粮食发酵副产物,轻度,基本可追溯,良,,,0,1,中,低,能源化利用,花生壳/板栗壳,差（优/良也可）,5.080179662880558
茶渣,严重,来源不明,良,否,,0,1,中,低,能源化利用,花生壳/板栗壳,差（优/良也可）,4.843973256168813
中药残余废弃物,严重,明确可追溯,差,,,0,1,高,低,前处理稳定化,豆腐渣/客家黄酒酒糟,优/良/差,6.793018495943757
中药残余废弃物,无,来源不明,差,,,0,0,高,中,材料主线,花生壳/板栗壳,优/良,3.0181233992526972
花生壳/板栗壳,严重,明确可追溯,差,,,0,1,高,低到中,材料主线,五指毛桃残余/布惊根残余/黄板树根残余/其他根茎木质型中药残余,优/良/差,5.1319274375080175
花生壳/板栗壳,无,明确可追溯,良,,,0,1,高,中高,食品支线,葡萄籽,优/良,4.898367504595537
果渣（柑橘/葡萄/猕猴桃等）,严重,来源不明,差,,否,1,1,中高,低,材料主线,柑橘皮/葡萄皮/猕猴桃副产物/脐橙副产物/水晶梨副产物/提取后残渣,优/良/差,10.028666736083764
豆制品/粮食发酵副产物,无,来源不明,良,,,0,0,中,低,无害化兜底,柑橘皮/葡萄皮/葡萄籽/猕猴桃副产物/脐橙副产物/水晶梨副产物/混合果渣,差,1.5489362429383182
花生壳/板栗壳,轻度,来源不明,良,,,1,1,高,中,材料主线,花生壳/板栗壳,优/良,9.694931549795609
花生壳/板栗壳,轻度,明确可追溯,良,,,0,1,高,低,前处理稳定化,豆腐渣/客家黄酒酒糟,优/良/差,7.167797816477709
茶渣,严重,明确可追溯,优,否,,1,1,高,中,材料主线,茶渣,优/良,9.875791810998988
果渣（柑橘/葡萄/猕猴桃等）,严重,来源不明,差,,是,0,1,高,中,材料主线,豆腐渣/客家黄酒酒糟,良/差（优也可）,5.971488366507847
果渣（柑橘/葡萄/猕猴桃等）,无,来源不明,优,,是,0,1,中高,中高,食品支线,豆腐渣为主/客家黄酒酒糟为辅,优/良,4.009910668705251
中药残余废弃物,严重,基本可追溯,差,,,0,1,中,低,无害化兜底,柑橘皮/葡萄皮/葡萄籽/猕猴桃副产物/脐橙副产物/水晶梨副产物/混合果渣,差,5.1727093216692595
果渣（柑橘/葡萄/猕猴桃等）,轻度,来源不明,差,,否,0,1,中,低,能源化利用,花生壳/板栗壳,差（优/良也可）,5.439461200785993
茶渣,无,来源不明,优,是,,1,1,中,高,食品支线,茶渣,优,6.850564134520901
花生壳/板栗壳,轻度,基本可追溯,差,,,0,0,中,中高,农用资源化,五指毛桃残余/布惊根残余/黄板树根残余/其他来源明确且安全性较可控的中药残余,优/良,0.46103984588174873
豆制品/粮食发酵副产物,严重,基本可追溯,优,,,0,1,高,低,材料主线,花生壳/板栗壳,优/良/差,7.246582543668225
茶渣,轻度,明确可追溯,差,是,,1,0,中,高,食品支线,茶渣,优,4.370686262812602
果渣（柑橘/葡萄/猕猴桃等）,无,基本可追溯,差,,是,0,1,高,低,前处理稳定化,豆腐渣/客家黄酒酒糟,优/良/差,7.026993649932962
花生壳/板栗壳,无,基本可追溯,差,,,0,1,中高,低,材料主线,柑橘皮/葡萄皮/猕猴桃副产物/脐橙副产物/水晶梨副产物/提取后残渣,优/良/差,5.7095673969956415
中药残余废弃物,严重,明确可追溯,良,,,0,1,高,中高,食品支线,葡萄皮/柑橘皮/脐橙副产物/猕猴桃副产物,优/良,0.23660880931850747
果渣（柑橘/葡萄/猕猴桃等）,无,明确可追溯,优,,否,1,1,中高,低,材料主线,柑橘皮/葡萄皮/猕猴桃副产物/脐橙副产物/水晶梨副产物/提取后残渣,优/良/差,9.636435887910796
中药残余废弃物,轻度,来源不明,差,,,0,1,中,低,无害化兜底,柑橘皮/葡萄皮/葡萄籽/猕猴桃副产物/脐橙副产物/水晶梨副产物/混合果渣,差,4.818789793013113
茶渣,严重,基本可追溯,差,是,,0,1,中高,低,农用材料路线,花生壳/板栗壳,良/差（优也可）,5.796683482290698
中药残余废弃物,轻度,来源不明,良,,,0,1,高,中,材料主线,花生壳/板栗壳,优/良,5.917706724476011
花生壳/板栗壳,无,来源不明,优,,,0,1,中高,低,材料主线,柑橘皮/葡萄皮/猕猴桃副产物/脐橙副产物/水晶梨副产物/提取后残渣,优/良/差,5.96278741044293
茶渣,严重,基本可追溯,良,是,,0,1,高,低,材料主线,花生壳/板栗壳,优/良/差,7.16249808661766
中药残余废弃物,轻度,明确可追溯,良,,,0,1,中高,低,农用材料路线,花生壳/板栗壳,良/差（优也可）,5.502799617412908
茶渣,轻度,基本可追溯,优,是,,1,1,中,高,食品支线,茶渣,优,7.2152840472471516
果渣（柑橘/葡萄/猕猴桃等）,严重,明确可追溯,优,,是,0,1,高,低,前处理稳定化,豆腐渣/客家黄酒酒糟,优/良/差,7.1583134708917235
花生壳/板栗壳,无,明确可追溯,优,,,0,1,高,中,材料主线,茶渣,优/良,5.940908088202939
花生壳/板栗壳,无,基本可追溯,差,,,0,0,高,中高,食品支线,葡萄皮/柑橘皮/脐橙副产物/猕猴桃副产物,优/良,2.227870318537853
茶渣,轻度,明确可追溯,差,否,,0,0,高,中高,食品支线,葡萄皮/柑橘皮/脐橙副产物/猕猴桃副产物,优/良,1.8992351687113478
中药残余废弃物,轻度,明确可追溯,优,,,0,1,高,低,前处理稳定化,豆腐渣/客家黄酒酒糟,优/良/差,7.028421488971736
豆制品/粮食发酵副产物,轻度,基本可追溯,差,,,0,0,中,中高,农用资源化,五指毛桃残余/布惊根残余/黄板树根残余/其他来源明确且安全性较可控的中药残余,优/良,0.21041374999034712
豆制品/粮食发酵副产物,无,基本可追溯,差,,,0,0,中,高,食品支线,茶渣,优,0.0
中药残余废弃物,轻度,基本可追溯,良,,,0,1,中,低,能源化利用,花生壳/板栗壳,差（优/良也可）,4.973647791203014
茶渣,严重,基本可追溯,良,否,,0,1,中,低,能源化利用,花生壳/板栗壳,差（优/良也可）,5.0797344839921195
果渣（柑橘/葡萄/猕猴桃等）,无,明确可追溯,差,,否,0,0,中,中高,农用资源化,五指毛桃残余/布惊根残余/黄板树根残余/其他来源明确且安全性较可控的中药残余,优/良,0.2642688520108709
花生壳/板栗壳,轻度,明确可追溯,差,,,0,1,高,低,材料主线,茶渣,优/良/差,7.455194284424724
花生壳/板栗壳,轻度,来源不明,优,,,0,1,高,低,材料主线,茶渣,优/良/差,7.157030900735666
花生壳/板栗壳,轻度,明确可追溯,优,,,0,1,高,中高,食品支线,葡萄籽,优/良,5.042621382106272
中药残余废弃物,严重,基本可追溯,优,,,0,1,高,中,材料主线,茶渣,优/良,5.605401685834961
豆制品/粮食发酵副产物,轻度,来源不明,优,,,0,0,中,低,无害化兜底,柑橘皮/葡萄皮/葡萄籽/猕猴桃副产物/脐橙副产物/水晶梨副产物/混合果渣,差,2.239002107568874
果渣（柑橘/葡萄/猕猴桃等）,严重,基本可追溯,差,,否,0,0,高,中,材料主线,花生壳/板栗壳,优/良,2.753017333859167
果渣（柑橘/葡萄/猕猴桃等）,无,明确可追溯,优,,是,0,1,中高,中高,食品支线,豆腐渣为主/客家黄酒酒糟为辅,优/良,4.389590491884163
中药残余废弃物,轻度,基本可追溯,良,,,0,1,高,低,前处理稳定化,豆腐渣/客家黄酒酒糟,优/良/差,7.2264068479087715
果渣（柑橘/葡萄/猕猴桃等）,无,基本可追溯,优,,是,0,1,高,中,材料主线,花生壳/板栗壳,优/良,6.22482975055635
花生壳/板栗壳,无,明确可追溯,差,,,0,1,高,中,材料主线,豆腐渣/客家黄酒酒糟,良/差（优也可）,6.2907838391151065
茶渣,严重,基本可追溯,差,是,,0,0,中,中高,农用资源化,五指毛桃残余/布惊根残余/黄板树根残余/其他来源明确且安全性较可控的中药残余,优/良,0.0
果渣（柑橘/葡萄/猕猴桃等）,无,明确可追溯,差,,是,0,1,高,低,前处理稳定化,豆腐渣/客家黄酒酒糟,优/良/差,7.052450544652816
果渣（柑橘/葡萄/猕猴桃等）,无,基本可追溯,优,,否,0,1,高,中,材料主线,茶渣,优/良,5.991284661681615
果渣（柑橘/葡萄/猕猴桃等）,轻度,基本可追溯,优,,是,0,1,高,中,材料主线,豆腐渣/客家黄酒酒糟,良/差（优也可）,6.247306622555544
豆制品/粮食发酵副产物,轻度,基本可追溯,差,,,0,0,高,中高,食品支线,葡萄皮/柑橘皮/脐橙副产物/猕猴桃副产物,优/良,2.452712044059433
中药残余废弃物,严重,来源不明,优,,,0,1,高,中,材料主线,茶渣,优/良,6.413782448161634
豆制品/粮食发酵副产物,严重,来源不明,优,,,1,1,中高,中高,食品支线,豆腐渣为主/客家黄酒酒糟为辅,优/良,0.0
果渣（柑橘/葡萄/猕猴桃等）,无,基本可追溯,差,,否,0,0,中,高,食品支线,茶渣,优,0.14604075432481067
豆制品/粮食发酵副产物,无,明确可追溯,良,,,0,1,高,低,材料主线,花生壳/板栗壳,优/良/差,7.022952433036427
豆制品/粮食发酵副产物,严重,明确可追溯,优,,,0,0,中,低,无害化兜底,柑橘皮/葡萄皮/葡萄籽/猕猴桃副产物/脐橙副产物/水晶梨副产物/混合果渣,差,1.7886734219970277
果渣（柑橘/葡萄/猕猴桃等）,轻度,来源不明,优,,否,0,0,中,低,无害化兜底,茶渣,差,1.798873875485719
果渣（柑橘/葡萄/猕猴桃等）,严重,明确可追溯,良,,是,1,1,中高,低,材料主线,柑橘皮/葡萄皮/猕猴桃副产物/脐橙副产物/水晶梨副产物/提取后残渣,优/良/差,9.947697209537333
茶渣,无,基本可追溯,差,是,,0,0,中,中高,农用资源化,五指毛桃残余/布惊根残余/黄板树根残余/其他来源明确且安全性较可控的中药残余,优/良,0.19346945494651602
果渣（柑橘/葡萄/猕猴桃等）,轻度,来源不明,良,,否,0,1,高,低,材料主线,花生壳/板栗壳,优/良/差,7.373790852219856
中药残余废弃物,无,来源不明,良,,,0,1,中高,低,农用材料路线,花生壳/板栗壳,良/差（优也可）,5.541549044066072
花生壳/板栗壳,轻度,基本可追溯,差,,,0,1,高,低到中,材料主线,五指毛桃残余/布惊根残余/黄板树根残余/其他根茎木质型中药残余,优/良/差,5.026250226143544
茶渣,严重,来源不明,优,否,,0,1,高,低,材料主线,花生壳/板栗壳,优/良/差,6.690467662376206
